leaves,x0,x1,x2,x3,x4,x5,x6,x7,bottom_permutation,top_permutation,permutation,orbits
11,1,1,0,0,2,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 10)(1 8)(2 4)(3 11)(5 7)(6 9),"[[10, 7, 5, 8, 1, 4, 2, 0], [11, 9, 6, 3]]",2
13,1,1,1,0,2,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 12)(1 11)(2 10)(3 8)(4 13)(5 7)(6 9),"[[12, 9, 6, 3, 8, 5, 7, 10, 2, 0], [11, 13, 4, 1]]",2
15,1,1,2,0,2,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 15),(0 14)(1 13)(2 12)(3 8)(4 11)(5 7)(6 9)(10 15),"[[14, 11, 4, 1, 13, 15, 10, 7, 5, 8, 3, 6, 9, 12, 2, 0]]",1
13,1,2,0,0,2,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 12)(1 11)(2 4)(3 10)(5 7)(6 9)(8 13),"[[12, 9, 6, 3, 10, 7, 5, 8, 13, 11, 1, 4, 2, 0]]",1
15,1,2,1,0,2,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 15),(0 14)(1 13)(2 10)(3 8)(4 12)(5 7)(6 9)(11 15),"[[14, 11, 15, 13, 1, 4, 12, 9, 6, 3, 8, 5, 7, 10, 2, 0]]",1
17,1,2,2,0,2,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 17),(0 16)(1 15)(2 12)(3 8)(4 11)(5 7)(6 9)(10 14)(13 17),"[[16, 13, 17, 15, 1, 4, 11, 14, 10, 7, 5, 8, 3, 6, 9, 12, 2, 0]]",1
11,1,0,0,1,2,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 8)(1 3)(2 11)(4 10)(5 7)(6 9),"[[8, 5, 7, 10, 4, 1, 3, 6, 9, 11, 2, 0]]",1
13,1,0,1,1,2,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 12)(1 8)(2 13)(3 11)(4 10)(5 7)(6 9),"[[12, 9, 6, 3, 11, 13, 2, 0], [8, 5, 7, 10, 4, 1]]",2
15,1,0,2,1,2,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 15),(0 14)(1 12)(2 15)(3 11)(4 10)(5 7)(6 9)(8 13),"[[14, 11, 3, 6, 9, 12, 1, 4, 10, 7, 5, 8, 13, 15, 2, 0]]",1
13,1,1,0,1,2,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 12)(1 11)(2 8)(3 13)(4 10)(5 7)(6 9),"[[12, 9, 6, 3, 13, 11, 1, 4, 10, 7, 5, 8, 2, 0]]",1
15,1,1,1,1,2,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 15),(0 14)(1 13)(2 12)(3 11)(4 10)(5 7)(6 9)(8 15),"[[14, 11, 3, 6, 9, 12, 2, 0], [13, 15, 8, 5, 7, 10, 4, 1]]",2
17,1,1,2,1,2,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 17),(0 16)(1 15)(2 14)(3 11)(4 10)(5 7)(6 9)(8 13)(12 17),"[[16, 13, 8, 5, 7, 10, 4, 1, 15, 17, 12, 9, 6, 3, 11, 14, 2, 0]]",1
15,1,2,0,1,2,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 15),(0 14)(1 13)(2 8)(3 12)(4 10)(5 7)(6 9)(11 15),"[[14, 11, 15, 13, 1, 4, 10, 7, 5, 8, 2, 0], [12, 9, 6, 3]]",2
17,1,2,1,1,2,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 17),(0 16)(1 15)(2 12)(3 11)(4 10)(5 7)(6 9)(8 14)(13 17),"[[16, 13, 17, 15, 1, 4, 10, 7, 5, 8, 14, 11, 3, 6, 9, 12, 2, 0]]",1
