leaves,x0,x1,x2,x3,bottom_permutation,top_permutation,permutation,orbits
15,0,4,0,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 15),(0 13)(1 15)(2 7)(3 10)(4 6)(5 8)(9 12)(11 14),"[[13, 15, 1, 4, 6, 3, 10, 7, 2, 0], [8, 5], [12, 9], [14, 11]]",4
17,0,5,0,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 17),(0 15)(1 17)(2 7)(3 10)(4 6)(5 8)(9 12)(11 14)(13 16),"[[15, 17, 1, 4, 6, 3, 10, 7, 2, 0], [8, 5], [12, 9], [14, 11], [16, 13]]",5
19,0,6,0,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 19),(0 17)(1 19)(2 7)(3 10)(4 6)(5 8)(9 12)(11 14)(13 16)(15 18),"[[17, 19, 1, 4, 6, 3, 10, 7, 2, 0], [8, 5], [12, 9], [14, 11], [16, 13], [18, 15]]",6
21,0,7,0,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 21),(0 19)(1 21)(2 7)(3 10)(4 6)(5 8)(9 12)(11 14)(13 16)(15 18)(17 20),"[[19, 21, 1, 4, 6, 3, 10, 7, 2, 0], [8, 5], [12, 9], [14, 11], [16, 13], [18, 15], [20, 17]]",7
23,0,8,0,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 23),(0 21)(1 23)(2 7)(3 10)(4 6)(5 8)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22),"[[21, 23, 1, 4, 6, 3, 10, 7, 2, 0], [8, 5], [12, 9], [14, 11], [16, 13], [18, 15], [20, 17], [22, 19]]",8
9,1,0,0,2,(0 2)(1 4)(3 6)(5 8)(7 9),(0 7)(1 3)(2 9)(4 6)(5 8),"[[7, 9, 2, 0], [3, 6, 4, 1], [8, 5]]",3
11,1,1,0,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 10)(1 9)(2 7)(3 11)(4 6)(5 8),"[[10, 7, 2, 0], [9, 11, 3, 6, 4, 1], [8, 5]]",3
13,1,2,0,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 12)(1 11)(2 7)(3 10)(4 6)(5 8)(9 13),"[[12, 9, 13, 11, 1, 4, 6, 3, 10, 7, 2, 0], [8, 5]]",2
15,1,3,0,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 15),(0 14)(1 13)(2 7)(3 10)(4 6)(5 8)(9 12)(11 15),"[[14, 11, 15, 13, 1, 4, 6, 3, 10, 7, 2, 0], [8, 5], [12, 9]]",3
17,1,4,0,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 17),(0 16)(1 15)(2 7)(3 10)(4 6)(5 8)(9 12)(11 14)(13 17),"[[16, 13, 17, 15, 1, 4, 6, 3, 10, 7, 2, 0], [8, 5], [12, 9], [14, 11]]",4
19,1,5,0,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 19),(0 18)(1 17)(2 7)(3 10)(4 6)(5 8)(9 12)(11 14)(13 16)(15 19),"[[18, 15, 19, 17, 1, 4, 6, 3, 10, 7, 2, 0], [8, 5], [12, 9], [14, 11], [16, 13]]",5
