leaves,x0,x1,x2,x3,x4,bottom_permutation,top_permutation,permutation,orbits
17,3,1,3,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 17),(0 16)(1 11)(2 10)(3 5)(4 7)(6 9)(8 13)(12 15)(14 17),"[[16, 13, 8, 5, 3, 6, 9, 12, 15, 17, 14, 11, 1, 4, 7, 10, 2, 0]]",1
19,3,2,3,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 19),(0 18)(1 13)(2 10)(3 5)(4 7)(6 9)(8 12)(11 15)(14 17)(16 19),"[[18, 15, 11, 14, 17, 19, 16, 13, 1, 4, 7, 10, 2, 0], [5, 8, 12, 9, 6, 3]]",2
21,3,3,3,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 21),(0 20)(1 15)(2 10)(3 5)(4 7)(6 9)(8 12)(11 14)(13 17)(16 19)(18 21),"[[20, 17, 13, 16, 19, 21, 18, 15, 1, 4, 7, 10, 2, 0], [5, 8, 12, 9, 6, 3], [14, 11]]",3
7,0,0,0,1,0,(0 2)(1 4)(3 6)(5 7),(0 2)(1 5)(3 7)(4 6),"[[2, 0], [5, 7, 3, 6, 4, 1]]",2
7,0,1,0,1,0,(0 2)(1 4)(3 6)(5 7),(0 3)(1 7)(2 5)(4 6),"[[3, 6, 4, 1, 7, 5, 2, 0]]",1
9,0,2,0,1,0,(0 2)(1 4)(3 6)(5 8)(7 9),(0 7)(1 9)(2 5)(3 8)(4 6),"[[7, 9, 1, 4, 6, 3, 8, 5, 2, 0]]",1
11,0,3,0,1,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 9)(1 11)(2 5)(3 8)(4 6)(7 10),"[[9, 11, 1, 4, 6, 3, 8, 5, 2, 0], [10, 7]]",2
7,1,0,0,1,0,(0 2)(1 4)(3 6)(5 7),(0 5)(1 3)(2 7)(4 6),"[[5, 7, 2, 0], [3, 6, 4, 1]]",2
9,1,1,0,1,0,(0 2)(1 4)(3 6)(5 8)(7 9),(0 8)(1 7)(2 5)(3 9)(4 6),"[[8, 5, 2, 0], [7, 9, 3, 6, 4, 1]]",2
11,1,2,0,1,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 10)(1 9)(2 5)(3 8)(4 6)(7 11),"[[10, 7, 11, 9, 1, 4, 6, 3, 8, 5, 2, 0]]",1
13,1,3,0,1,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 12)(1 11)(2 5)(3 8)(4 6)(7 10)(9 13),"[[12, 9, 13, 11, 1, 4, 6, 3, 8, 5, 2, 0], [10, 7]]",2
9,2,0,0,1,0,(0 2)(1 4)(3 6)(5 8)(7 9),(0 8)(1 3)(2 7)(4 6)(5 9),"[[8, 5, 9, 7, 2, 0], [3, 6, 4, 1]]",2
11,2,1,0,1,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 10)(1 7)(2 5)(3 9)(4 6)(8 11),"[[10, 7, 1, 4, 6, 3, 9, 11, 8, 5, 2, 0]]",1
13,2,2,0,1,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 12)(1 9)(2 5)(3 8)(4 6)(7 11)(10 13),"[[12, 9, 1, 4, 6, 3, 8, 5, 2, 0], [11, 13, 10, 7]]",2
15,2,3,0,1,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 15),(0 14)(1 11)(2 5)(3 8)(4 6)(7 10)(9 13)(12 15),"[[14, 11, 1, 4, 6, 3, 8, 5, 2, 0], [10, 7], [13, 15, 12, 9]]",3
11,3,0,0,1,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 10)(1 3)(2 7)(4 6)(5 9)(8 11),"[[10, 7, 2, 0], [3, 6, 4, 1], [9, 11, 8, 5]]",3
13,3,1,0,1,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 12)(1 7)(2 5)(3 9)(4 6)(8 11)(10 13),"[[12, 9, 3, 6, 4, 1, 7, 10, 13, 11, 8, 5, 2, 0]]",1
15,3,2,0,1,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 15),(0 14)(1 9)(2 5)(3 8)(4 6)(7 11)(10 13)(12 15),"[[14, 11, 7, 10, 13, 15, 12, 9, 1, 4, 6, 3, 8, 5, 2, 0]]",1
17,3,3,0,1,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 17),(0 16)(1 11)(2 5)(3 8)(4 6)(7 10)(9 13)(12 15)(14 17),"[[16, 13, 9, 12, 15, 17, 14, 11, 1, 4, 6, 3, 8, 5, 2, 0], [10, 7]]",2
9,0,0,1,1,0,(0 2)(1 4)(3 6)(5 8)(7 9),(0 2)(1 8)(3 7)(4 6)(5 9),"[[2, 0], [8, 5, 9, 7, 3, 6, 4, 1]]",2
9,0,1,1,1,0,(0 2)(1 4)(3 6)(5 8)(7 9),(0 5)(1 9)(2 8)(3 7)(4 6),"[[5, 8, 2, 0], [9, 7, 3, 6, 4, 1]]",2
11,0,2,1,1,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 9)(1 11)(2 8)(3 7)(4 6)(5 10),"[[9, 11, 1, 4, 6, 3, 7, 10, 5, 8, 2, 0]]",1
