leaves,x0,x1,bottom_permutation,top_permutation,permutation,orbits
25,8,3,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 25),(0 24)(1 9)(2 4)(3 6)(5 8)(7 11)(10 13)(12 15)(14 17)(16 19)(18 21)(20 23)(22 25),"[[24, 21, 18, 15, 12, 9, 1, 4, 2, 0], [6, 3], [8, 5], [11, 14, 17, 20, 23, 25, 22, 19, 16, 13, 10, 7]]",4
27,8,4,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 27),(0 26)(1 11)(2 4)(3 6)(5 8)(7 10)(9 13)(12 15)(14 17)(16 19)(18 21)(20 23)(22 25)(24 27),"[[26, 23, 20, 17, 14, 11, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [13, 16, 19, 22, 25, 27, 24, 21, 18, 15, 12, 9]]",5
29,8,5,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 29),(0 28)(1 13)(2 4)(3 6)(5 8)(7 10)(9 12)(11 15)(14 17)(16 19)(18 21)(20 23)(22 25)(24 27)(26 29),"[[28, 25, 22, 19, 16, 13, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [15, 18, 21, 24, 27, 29, 26, 23, 20, 17, 14, 11]]",6
31,8,6,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 31),(0 30)(1 15)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 17)(16 19)(18 21)(20 23)(22 25)(24 27)(26 29)(28 31),"[[30, 27, 24, 21, 18, 15, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [17, 20, 23, 26, 29, 31, 28, 25, 22, 19, 16, 13]]",7
33,8,7,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 33),(0 32)(1 17)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 19)(18 21)(20 23)(22 25)(24 27)(26 29)(28 31)(30 33),"[[32, 29, 26, 23, 20, 17, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [19, 22, 25, 28, 31, 33, 30, 27, 24, 21, 18, 15]]",8
35,8,8,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 35),(0 34)(1 19)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 21)(20 23)(22 25)(24 27)(26 29)(28 31)(30 33)(32 35),"[[34, 31, 28, 25, 22, 19, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15], [21, 24, 27, 30, 33, 35, 32, 29, 26, 23, 20, 17]]",9
37,8,9,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 36)(35 37),(0 36)(1 21)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 23)(22 25)(24 27)(26 29)(28 31)(30 33)(32 35)(34 37),"[[36, 33, 30, 27, 24, 21, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15], [20, 17], [23, 26, 29, 32, 35, 37, 34, 31, 28, 25, 22, 19]]",10
39,8,10,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 36)(35 38)(37 39),(0 38)(1 23)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 25)(24 27)(26 29)(28 31)(30 33)(32 35)(34 37)(36 39),"[[38, 35, 32, 29, 26, 23, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15], [20, 17], [22, 19], [25, 28, 31, 34, 37, 39, 36, 33, 30, 27, 24, 21]]",11
41,8,11,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 36)(35 38)(37 40)(39 41),(0 40)(1 25)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 27)(26 29)(28 31)(30 33)(32 35)(34 37)(36 39)(38 41),"[[40, 37, 34, 31, 28, 25, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15], [20, 17], [22, 19], [24, 21], [27, 30, 33, 36, 39, 41, 38, 35, 32, 29, 26, 23]]",12
43,8,12,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 36)(35 38)(37 40)(39 42)(41 43),(0 42)(1 27)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 29)(28 31)(30 33)(32 35)(34 37)(36 39)(38 41)(40 43),"[[42, 39, 36, 33, 30, 27, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15], [20, 17], [22, 19], [24, 21], [26, 23], [29, 32, 35, 38, 41, 43, 40, 37, 34, 31, 28, 25]]",13
